,heuristic,branches,time
0,rc,18,1.4938089847564697
1,rc,19,1.3389983177185059
2,rc,119,3.2377731800079346
3,rc,19,1.381446361541748
4,rc,15,1.4149975776672363
5,rc,54,1.9950716495513916
6,rc,3,1.165250301361084
7,rc,54,1.7923059463500977
8,rc,23,1.4506278038024902
9,rc,21,1.551264762878418
10,rc,6,1.2651786804199219
11,rc,3,1.142033576965332
12,rc,50,1.9797940254211426
13,rc,24,1.6553421020507812
14,rc,18,1.5611777305603027
15,rc,4,1.1579797267913818
16,rc,17,1.3298332691192627
17,rc,61,2.61006760597229
18,rc,3,1.1241323947906494
19,rc,17,1.346639633178711
20,rc,13,1.4056768417358398
21,rc,6,1.184260606765747
22,rc,62,1.8847720623016357
23,rc,3,1.16127347946167
24,rc,17,1.3909690380096436
25,rc,102,2.634535789489746
26,rc,2,1.1790003776550293
27,rc,42,1.7842862606048584
28,rc,30,1.9103057384490967
29,rc,39,1.5589604377746582
30,rc,85,2.3204431533813477
31,rc,88,3.1494150161743164
32,rc,8,1.3366446495056152
33,rc,2,1.1181316375732422
34,rc,12,1.3510348796844482
35,rc,22,1.532282829284668
36,rc,23,1.6614370346069336
37,rc,55,2.118860960006714
38,rc,7,1.179520845413208
39,rc,21,1.4296462535858154
40,rc,33,1.5057721138000488
41,rc,7,1.18398118019104
42,rc,17,1.3700578212738037
43,rc,42,1.601074457168579
44,rc,34,1.6348206996917725
45,rc,30,1.5008044242858887
46,rc,51,1.6532070636749268
47,rc,41,1.9751849174499512
48,rc,20,1.4100379943847656
49,rc,82,2.3082964420318604
50,rc,10,1.2714674472808838
51,rc,31,1.6293001174926758
52,rc,63,1.9794890880584717
53,rc,10,1.232001781463623
54,rc,6,1.273221731185913
55,rc,23,1.4162614345550537
56,rc,12,1.446213722229004
57,rc,10,1.2713675498962402
58,rc,7,1.2692477703094482
59,rc,30,1.604344367980957
60,rc,20,1.5469701290130615
61,rc,68,2.1672651767730713
62,rc,14,1.387946605682373
63,rc,14,1.3158187866210938
64,rc,5,1.1675784587860107
65,rc,32,1.5556426048278809
66,rc,8,1.275695562362671
67,rc,2,1.2760016918182373
68,rc,30,1.7248287200927734
69,rc,15,1.305558681488037
70,rc,47,1.8402414321899414
71,rc,78,2.292363166809082
72,rc,5,1.1909542083740234
73,rc,18,1.3059980869293213
74,rc,8,1.264385461807251
75,rc,18,1.4166219234466553
76,rc,32,1.852780818939209
77,rc,11,1.3396081924438477
78,rc,8,1.1374423503875732
79,rc,18,1.3859975337982178
80,rc,22,1.4363977909088135
81,rc,7,1.1874406337738037
82,rc,17,1.3580021858215332
83,rc,15,1.342900276184082
84,rc,2,1.1776790618896484
85,rc,20,1.5180037021636963
86,rc,7,1.2718963623046875
87,rc,33,1.693192720413208
88,rc,9,1.193000078201294
89,rc,21,1.3659138679504395
90,rc,9,1.1969358921051025
,heuristic,branches,time
0,jw,18,1.3919610977172852
1,jw,19,1.4728033542633057
2,jw,119,3.264498233795166
3,jw,19,1.3789856433868408
4,jw,15,1.4110264778137207
5,jw,54,2.007714033126831
6,jw,3,1.2098848819732666
7,jw,54,2.0292136669158936
8,jw,23,1.7009642124176025
9,jw,21,1.8476970195770264
10,jw,6,1.3716461658477783
11,jw,3,1.1712110042572021
12,jw,50,2.25403094291687
13,jw,24,1.8897178173065186
14,jw,18,1.7957720756530762
15,jw,4,1.363966703414917
16,jw,17,1.4137046337127686
17,jw,61,2.787874460220337
18,jw,3,1.2624468803405762
19,jw,17,1.3952903747558594
20,jw,13,1.5000076293945312
21,jw,6,1.4424681663513184
22,jw,62,2.1953365802764893
23,jw,3,1.1808218955993652
24,jw,17,1.4489421844482422
25,jw,102,2.6645092964172363
26,jw,2,1.169999361038208
27,jw,42,1.8229920864105225
28,jw,30,1.8317601680755615
29,jw,39,1.5983738899230957
30,jw,85,2.372832775115967
31,jw,88,3.2564730644226074
32,jw,8,1.3291499614715576
33,jw,2,1.1410410404205322
34,jw,12,1.564509391784668
35,jw,22,1.961864709854126
36,jw,23,1.8337633609771729
37,jw,55,2.20054030418396
38,jw,7,1.2160043716430664
39,jw,21,1.5322456359863281
40,jw,33,1.5598852634429932
41,jw,7,1.2023236751556396
42,jw,17,1.4179670810699463
43,jw,42,1.6787474155426025
44,jw,34,1.7104604244232178
45,jw,30,1.5982680320739746
46,jw,51,1.664940357208252
47,jw,41,2.4584085941314697
48,jw,20,1.5781691074371338
49,jw,82,2.4991283416748047
50,jw,10,1.345228672027588
51,jw,31,1.7480003833770752
52,jw,63,2.3797266483306885
53,jw,10,1.4220335483551025
54,jw,6,1.3031527996063232
55,jw,23,1.6728589534759521
56,jw,12,1.6114699840545654
57,jw,10,1.3360369205474854
58,jw,7,1.307163953781128
59,jw,30,1.6564311981201172
60,jw,20,1.5892856121063232
61,jw,68,2.241452693939209
62,jw,14,1.4146170616149902
63,jw,14,1.3548049926757812
64,jw,5,1.1684715747833252
65,jw,32,1.616589069366455
66,jw,8,1.2882394790649414
67,jw,2,1.2103612422943115
68,jw,30,1.7656276226043701
69,jw,15,1.3220031261444092
70,jw,47,1.8715481758117676
71,jw,78,2.313971757888794
72,jw,5,1.2125775814056396
73,jw,18,1.3427159786224365
74,jw,8,1.2630023956298828
75,jw,18,1.4524650573730469
76,jw,32,1.9045557975769043
77,jw,11,1.3948934078216553
78,jw,8,1.1599109172821045
79,jw,18,1.4335827827453613
80,jw,22,1.4484031200408936
81,jw,7,1.2289721965789795
82,jw,17,1.3778643608093262
83,jw,15,1.3796274662017822
84,jw,2,1.2310330867767334
85,jw,20,1.6704111099243164
86,jw,7,1.3492441177368164
87,jw,33,1.740062952041626
88,jw,9,1.2306339740753174
89,jw,21,1.4802281856536865
90,jw,9,1.3772406578063965
,heuristic,branches,time
0,random,18,1.4512639045715332
1,random,19,1.4250361919403076
2,random,119,3.293032646179199
3,random,19,1.4105777740478516
4,random,15,1.4790778160095215
5,random,54,2.064379930496216
6,random,3,1.1766443252563477
7,random,54,1.83701491355896
8,random,23,1.4648363590240479
9,random,21,1.5617809295654297
10,random,6,1.3343617916107178
11,random,3,1.1650724411010742
12,random,50,1.998178482055664
13,random,24,1.6679222583770752
14,random,18,1.620633840560913
15,random,4,1.1589374542236328
16,random,17,1.3969454765319824
17,random,61,2.7276546955108643
18,random,3,1.1508264541625977
19,random,17,1.4174940586090088
20,random,13,1.5839965343475342
21,random,6,1.2252082824707031
22,random,62,1.9716010093688965
23,random,3,1.2773280143737793
24,random,17,1.387070655822754
25,random,102,2.7579472064971924
26,random,2,1.199000358581543
27,random,42,1.9686906337738037
28,random,30,1.9417691230773926
29,random,39,1.633436679840088
30,random,85,2.3622217178344727
31,random,88,3.3327841758728027
32,random,8,1.449087142944336
33,random,2,1.340001106262207
34,random,12,1.5752818584442139
35,random,22,1.9672205448150635
36,random,23,2.0304758548736572
37,random,55,2.570268392562866
38,random,7,1.3493120670318604
39,random,21,1.6822569370269775
40,random,33,1.674769639968872
41,random,7,1.3019251823425293
42,random,17,1.5962653160095215
43,random,42,1.878734827041626
44,random,34,2.170200824737549
45,random,30,1.8153111934661865
46,random,51,2.202073574066162
47,random,41,2.6885223388671875
48,random,20,1.785663366317749
49,random,82,2.689694881439209
50,random,10,1.6662929058074951
51,random,31,2.0924768447875977
52,random,63,2.6033248901367188
53,random,10,1.4118900299072266
54,random,6,1.310999870300293
55,random,23,1.6023645401000977
56,random,12,1.5804352760314941
57,random,10,1.5201799869537354
58,random,7,1.4375481605529785
59,random,30,1.7778244018554688
60,random,20,1.7110881805419922
61,random,68,2.4515459537506104
62,random,14,1.5275630950927734
63,random,14,1.4615373611450195
64,random,5,1.2912116050720215
65,random,32,1.7112698554992676
66,random,8,1.356717586517334
67,random,2,1.304839849472046
68,random,30,1.918355941772461
69,random,15,1.482679843902588
70,random,47,2.01265287399292
71,random,78,2.548532724380493
72,random,5,1.3040368556976318
73,random,18,1.4583523273468018
74,random,8,1.4156055450439453
75,random,18,1.5466856956481934
76,random,32,2.063232660293579
77,random,11,1.5332050323486328
78,random,8,1.2624130249023438
79,random,18,1.5866262912750244
80,random,22,1.7560319900512695
81,random,7,1.3598780632019043
82,random,17,1.5351760387420654
83,random,15,1.5166034698486328
84,random,2,1.3299689292907715
85,random,20,1.6559514999389648
86,random,7,1.468250036239624
87,random,33,1.9988861083984375
88,random,9,1.3331279754638672
89,random,21,1.5690138339996338
90,random,9,1.3083314895629883
